"Common Names","Watering Period","Sun Requirements","Resistances","Image","Scientific Name","Description"
"Ornamental Sweet Potato","1-2 Weeks","Full Sun","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=TtD8TfAZ2k%4024.jpg","Ipomoea Batatas","The plant is a herbaceous perennial vine, bearing alternate heart-shaped or palmately lobed leaves and medium-sized sympetalous flowers. The stems are usually crawling on the ground and form adventitious roots at the nodes. The leaves are screwed along the stems. The leaf stalk is 5 to 20 inches long. The leaf blades are very variable, 5 to 13 centimeters long, the shape is heart-, kidney- to egg-shaped, rounded or triangular and spear-shaped, the edge can be entire, toothed or often three to seven times lobed, cut or divided. Most of the leaf surfaces are bare, rarely hairy, and the tip is rounded to pointed. The leaves are mostly green in color, but due to the accumulation of anthocyanins, especially along the leaf veins, they can be purple in color. Depending on the variety, the total length of a stem can be between 0.5 and 4 meters. Some cultivars also form shoots up to 16 meters in length. However, these do not form underground storage organs."
"Oakleaf Hydrangea","10-14 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=D53z9rJrGk%4025.jpg","Hydrangea Quercifolia","Hydrangea quercifolia is a coarse-textured deciduous shrub growing to 3–12 feet (0.91–3.66 m) tall with an open crown. The plant sprouts shoots from underground stolons and often grows in colonies. Young stems are covered in a felt-like light brown bark, and the larger stems have attractive cinnamon-tan-orange bark that shreds and peels in thin flakes.

The leaves are yellowish green to dark green on top and silvery-white underneath. They have three, five or seven pointed lobes and are 4–12 in (10.2–30.5 cm) long and almost as wide. They vaguely resemble larger versions of oak leaves, similar to Quercus species with lobed foliage. Plants in shade have larger leaves than those grown in sun. The leaves turn rich shades of red, bronze and purple in autumn that persist in winter accompanying the persistent dried flower-heads."
"New Guniea Impatiens","7-10 Days","Full Sun","Cold","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=6OBuAiA8CG%4026.jpg","Impatiens Hawkeri","Impatiens hawkeri, the New Guinea impatiens, is a species of flowering plant in the family Balsaminaceae. It is native to Papua New Guinea and the Solomon Islands. It has been bred and hybridized in cultivation to produce a line of garden plants."
"Million Gold","10-14 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=4t1gWHzDA8%4027.jpg","Melampodium Paludosum","Melampodium is a genus of flowering plants in the sunflower family.

These are rugged plants native to the tropical to subtropical regions that include Central America, Southwestern United States, California, Florida, the Caribbean, and South America. Most of the species can be found in Mexico, five in the Southwestern United States, and three are scattered in Colombia and Brazil."
"Lily-of-the-Valley","1-2 Weeks","Full Sun","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=LXnZz2r33a%4028.jpg","Convallaria Majalis","Convallaria majalis is an herbaceous perennial plant that often forms extensive colonies by spreading underground stems called rhizomes. New upright shoots are formed at the ends of stolons in summer, these upright dormant stems are often called pips. These grow in the spring into new leafy shoots that still remain connected to the other shoots under ground. The stems grow to 15–30 cm (6–12 in) tall, with one or two leaves 10–25 cm (4–10 in) long; flowering stems have two leaves and a raceme of five to fifteen flowers on the stem apex."
"Lilac","2-3 Weeks","Partial Shade","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=eI9BGopY7u%4029.jpg","Syringa Vulgaris","Syringa vulgaris is a large deciduous shrub or multistemmed small tree, growing to 6–7 m (20–23 ft) high. It produces secondary shoots from the base or roots, with stem diameters up to 20 cm (8 in), which in the course of decades may produce a small clonal thicket. The bark is grey to grey-brown, smooth on young stems, longitudinally furrowed, and flaking on older stems. The leaves are simple, 4–12 cm (2–5 in) and 3–8 cm broad, light green to glaucous, oval to cordate, with pinnate leaf venation, a mucronate apex, and an entire margin."
"Thread-leaf Tickseed","2-3 Weeks","Full Sun","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=W45V4aw91p%4030.jpg","Coreopsis Verticillata","Coreopsis verticillata is an herbaceous perennial that grows 2–3 ft (1–1 m) tall and about 2 ft (1 m) wide, although as it spreads laterally by rhizomes, this width can be exceeded. The stems are wiry. The flower heads are up to 2 in (51 mm) across, and both the disc florets and ray florets are bright yellow. The flowers are produced abundantly in clusters from midsummer to fall."
"Sunflower","10-14 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=0WzJUXGC6U%4031.jpg","Helianthus Annuus","The plant has an erect rough-hairy stem, reaching typical heights of 3 metres (9.8 ft). The tallest sunflower on record achieved 9.17 metres (30.1 ft). Sunflower leaves are broad, coarsely toothed, rough and mostly alternate. What is often called the ""flower"" of the sunflower is actually a ""flower head"" or pseudanthium of numerous small individual five-petaled flowers (""florets""). The outer flowers, which resemble petals, are called ray flowers. Each ""petal"" consists of a ligule composed of fused petals of an asymmetrical ray flower."
"Snow-in-Summer","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=692V1Y8gGx%4032.jpg","Cerastium Tomentosum","It is an evergreen, creeping off-shoot, perennial, herbaceous plant that reaches heights of growth of 15 to 30 (rarely to 45) centimeters. It is overall densely hairy. The leaves are up to 30 millimetres long and linear to lanceolate, which are covered with silky, silvery, frizzy and entangled hairs, forming like whitish felting. The inflorescences consist of up to 15 flowers. The calyx is 5 to 7 millimetres long. The petals are white and twice as long as the calyx. The teeth of the capsule are slightly bent outwards. The flowering period is from May to July in the northern hemisphere, but may also bloom at other times of the year."
"Snapdragon","10-14 Days","Partial Sun","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=90Crc6xPK2%4033.jpg","Antirrhinum Majus","It is an herbaceous perennial plant, growing to 0.5–1 m tall, rarely up to 2 m. The leaves are spirally arranged, broadly lanceolate, 1–7 cm long and 2-2.5 cm broad. The upper glandular stalk is stalk-round, sometimes woody to the middle. The opposite leaves are simple, elliptic or ovate to broad-lanceolate, sometimes linear and usually bleak. Leaflets are missing."
"Signet Marigold","10-14 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=pls6I2FRS6%4034.jpg","Tagetes Tenuifolia","Marigolds are regarded as one of the easiest plants to grow. They are very hardy, and may survive minor frosts. The plant is well suited to a mostly sunny position, and fairly well draining soil. Overly fertile soil may cause the plants to become bushy and produce less flowers. Marigolds come in a variety of colours, but mostly yellows and oranges, flowering in the middle of Summer. They can be planted out when there's no more risk of frosts. They can be purchased from most nurseries, and seeds are readily available in stores. It is often used as a companion plant for its insect-repelling properties."
"Lavender","1-2 Weeks","Full Sun","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=79u5iz9tAZ%4035.jpg","Lavendula Angustifolia","English lavender is commonly grown as an ornamental plant. It is popular for its colourful flowers, its fragrance, and its ability to survive with low water consumption. It does not grow well in continuously damp soil and may benefit from increased drainage provided by inorganic mulches such as gravel. It does best in Mediterranean climates similar to its native habitat, characterised by wet winters and dry summers. It is fairly tolerant of low temperatures and is generally considered hardy to USDA zone 5. It tolerates acid soils but favours neutral to alkaline soils, and in some conditions it may be short-lived."
"Japanese Iris","1-2 Weeks","Partial Shade","Delicate","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=KJetE140yn%4036.jpg","Iris Ensata","Iris ensata is an erect rhizomatous herbaceous perennial growing to 80 cm (31 in) tall, with strap-shaped leaves. The flower, appearing in midsummer, is purple with a flash of yellow on the falls. The bluish purple color of the flowers is an example of the copigmentation phenomenon."
"Ivy Geranium","2-3 Weeks","Partial Shade","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=cwcjF4oGuY%4037.jpg","Pelargonium Peltatum","The ivy-leaved pelargonium is a perennial plant that scrambles over the surrounding vegetation and its somewhat succulent, slender and smooth, 3–10 mm (0.12–0.40 in) thick stems can grow to a length of about 2 m (7 ft).

The leaves are alternately arranged along the stem, but sometimes seem to be opposite. The leaves have broad oval to triangular stipules of about 7 mm (0.28 in) long and 4 mm (0.16 in) wide, a leaf stalk of ½–5½ cm (0.2–2.2 in) long, and a hairy or hairless, green to greyish green, sometimes with a differently colored semicircular band, more of less fleshy, circular to heart-shaped in outline, on average 3 cm (1.2 in) long and 5 cm (2.0 in) wide (full range 1–6¾ cm × 1¾–8¾ cm). The leaf blade has five shallow or deeper sharp or blunt tipped lobes that spread radially from a point with an entire margin."
"Globe Amaranth","2-3 Weeks","Full Sun","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=U63iUwOT14%4038.jpg","Gomphrena Globosa","Gomphrena globosa, commonly known as globe amaranth, is an edible plant from the family Amaranthaceae. The round-shaped flower inflorescences are a visually dominant feature and cultivars have been propagated to exhibit shades of magenta, purple, red, orange, white, pink, and lilac. Within the flowerheads, the true flowers are small and inconspicuous."
"Garden Verbena","10-14 Days","Partial Shade","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=1r3o7H84dQ%4039.jpg","Verbena Hybrida","Verbena is an herbaceous flowering plant, belonging to the Verbenaceae family, and may be annual or perennial depending on the species. The leaves are usually opposite, simple, and in many species hairy, often densely so. The flowers are small, with five petals, and borne in dense spikes. Typically some shade of blue, they may also be white, pink, or purple, especially in cultivars."
"Gentian Sage","7-10 Days","Full Sun","Heat","","Salvia Patens","Salvia patens is tuberous, and easily lifted for overwintering in a greenhouse. The more common varieties reach 30–60 cm (12–24 in) tall and wide, and are covered with hastate shaped mistletoe-green leaves. Inflorescences reach 15 to 30 cm (5.9 to 11.8 in) or longer, rising well above the leaves. 2.6 cm (1.0 in) pure blue flowers are spaced along the inflorescence, with a 1.3 cm (0.51 in) green calyx that adds to the attractiveness of the flowers."
"Garden Phlox","10-14 Days","Full Sun","Heat","","Phlox Paniculata","Phlox paniculata is an erect herbaceous perennial growing to 120 cm (47 in) tall by 100 cm (39 in) wide, with opposite, simple leaves on slender green stems. The flowers are 1.5–2.5 cm (1–1 in) in diameter, often strongly fragrant and borne in summer through fall (autumn). The flowers are grouped in panicles (with many branching stems), hence the specific epithet paniculata. Typical flower colors in wild populations are pink or purple (rarely white)."
"Garden Lily","7-10 Days","Partial Shade","Delicate","","Lilium","Lilies are tall perennials ranging in height from 2–6 ft (60–180 cm). They form naked or tunicless scaly underground bulbs which are their organs of perennation. In some North American species the base of the bulb develops into rhizomes, on which numerous small bulbs are found. Some species develop stolons. Most bulbs are buried deep in the ground, but a few species form bulbs near the soil surface. Many species form stem-roots. With these, the bulb grows naturally at some depth in the soil, and each year the new stem puts out adventitious roots above the bulb as it emerges from the soil. These roots are in addition to the basal roots that develop at the base of the bulb."
"Garten Impatiens","1-2 Weeks","Partial Shade","PH","","Impatiens Walleriana","It is a flowering herbaceous perennial plant growing to 15–60 cm (6–24 in) tall, with broad lanceolate leaves 3–12 cm long and 2–5 cm broad. Leaves are mostly alternate, although they may be opposite near the top of the plant. The changeable, simple leaves are stalked 1.5 to 6 cm long. The leaf blade is ovate to broadly elliptic, sometimes obovate, 2.5 to 13 inches long and 2 to 5.5 inches wide, green and sometimes spotted or pink or reddish on the underside. Leaflets are missing."
"French Marigold","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=DVLh285jvX%4040.jpg","Tagetes Patula","Tagetes patula is an annual, occasionally reaching 0.5 m (1.6 ft) tall by 0.3 m (1.0 ft) wide. In some climates it flowers from July to October. In its native habitat of the highlands of central Mexico, blooms are produced from September to killing frost. Achenes ripen and are shed within two weeks of the start of bloom."
"American Marigold","2-3 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=wfSLrEjsY3%4041.jpg","Tagetes Erecta","It is a herbaceous annual or perennial whose height ranges from 30–110 cm. The root is cylindrical, pivoting, with a fibrous and shallow branching system. The stem is striated, sometimes ridged, smooth or slightly with villi, cylindrical, oval and herbaceous to slightly woody, with resin channels in the bark, which are aromatic when squeezed. Opposite leaves at the bottom alternate at the top, up to 20 cm long, pinnate, composed of 11 to 17 leaflets, lanceolate to linear-lanceolate, up to 5 cm long and 1.5 cm wide, acute to acuminate, serrated to sub-holders, the lower ones of each leaf frequently setiform (in the form of threads), the superiors are sometimes completely setiform; with abundant round glands."
"Annual Vinca","7-10 Days","Full Sun","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=m36avb0CyF%4042.jpg","Catharanthus Roseus","Catharanthus roseus is an evergreen subshrub or herbaceous plant growing 1 m (39 in) tall. The leaves are oval to oblong, 2.5–9 cm (1.0–3.5 in) long and 1–3.5 cm (0.4–1.4 in) broad, glossy green, hairless, with a pale midrib and a short petiole 1–1.8 cm (0.4–0.7 in) long; they are arranged in opposite pairs. The flowers are white to dark pink with a darker red centre, with a basal tube 2.5–3 cm (1.0–1.2 in) long and a corolla 2–5 cm (0.8–2.0 in) diameter with five petal-like lobes. The fruit is a pair of follicles 2–4 cm (0.8–1.6 in) long and 3 mm (0.1 in) broad."
